City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Namibe,AO,80.13,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
383,Porto Velho,BR,77,light rain,-8.7619,-63.9039,Hotel Central
343,Cidreira,BR,70.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
419,Nuevitas,CU,82.4,broken clouds,21.5453,-77.2644,Hotel Caonaba
233,Todos Santos,MX,73.99,clear sky,23.45,-110.2167,Hotel California Todos Santos
688,Pontes E Lacerda,BR,72.59,clear sky,-15.2261,-59.3353,Hotel Bressan
275,San Andres,CO,82.4,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
465,Guiratinga,BR,71.4,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
323,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
567,Tanhacu,BR,70.48,overcast clouds,-14.0214,-41.2481,Hotel Aguas D Lindoia
248,Horqueta,PY,75.36,clear sky,-23.3428,-57.0597,Hospedaje Heina
622,San Rafael Del Sur,NI,84.2,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
607,Sechura,PE,72.61,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
135,Laguna,US,73.4,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
463,Chiang Mai,TH,78.01,clear sky,18.75,99,Holiday Inn Chiangmai
154,Hilo,US,84.2,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
222,Gladstone,AU,78.8,overcast clouds,-23.85,151.25,Highpoint International
246,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
229,Hobyo,SO,83.34,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
652,General Cepeda,MX,75.2,clear sky,25.3833,-101.45,Hacienda Los Jose
499,Cayenne,GF,79,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
456,Miandrivazo,MG,74.8,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
508,Ambilobe,MG,71.51,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
563,Angoche,MZ,72.1,scattered clouds,-16.2325,39.9086,Guest House HESADA
147,Tual,ID,82.62,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
359,Macau,MO,77,clear sky,22.2006,113.5461,Grand Emperor Hotel
15,Bengkulu,ID,76.44,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
433,Mitsamiouli,KM,80.69,broken clouds,-11.3847,43.2844,Foyer ADM
