City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
55,East London,ZA,2021-04-13 04:38:03,-33.0153,27.9116,69.8,94,75,2.3
56,Necochea,AR,2021-04-13 04:39:25,-38.5473,-58.7368,55.99,88,0,1.99
57,Sibolga,ID,2021-04-13 04:39:26,1.7427,98.7792,85.23,66,81,4.45
58,Durres,AL,2021-04-13 04:39:26,41.3231,19.4414,50.0,87,75,3.44
59,Burriana,ES,2021-04-13 04:39:26,39.889,-0.085,51.01,79,77,1.5
60,Aiquile,BO,2021-04-13 04:39:27,-18.2041,-65.1807,52.27,97,60,1.83
61,Auki,SB,2021-04-13 04:39:27,-8.7676,160.7034,83.14,75,26,1.25
62,Port Elizabeth,ZA,2021-04-13 04:37:59,-33.918,25.5701,64.4,94,90,3.44
63,Visnes,NO,2021-04-13 04:39:27,59.3556,5.2242,39.2,65,20,21.85
64,Honghu,CN,2021-04-13 04:39:28,29.8206,113.4621,71.69,62,93,6.87
65,Lebu,CL,2021-04-13 04:39:28,-37.6167,-73.65,55.76,91,1,14.83
66,Nikolskoye,RU,2021-04-13 04:39:28,59.7035,30.7861,48.0,49,0,4.47
67,Qaanaaq,GL,2021-04-13 04:39:28,77.484,-69.3632,-6.18,85,59,5.97
68,Antalaha,MG,2021-04-13 04:39:29,-14.9003,50.2788,80.47,73,37,5.88
69,Morros,BR,2021-04-13 04:39:29,-9.4467,-46.3003,72.19,72,61,0.56
70,Tasiilaq,GL,2021-04-13 04:39:29,65.6145,-37.6368,26.6,63,32,3.44
71,Salalah,OM,2021-04-13 04:39:30,17.0151,54.0924,80.6,69,0,3.44
72,Luderitz,NA,2021-04-13 04:39:30,-26.6481,15.1594,79.3,32,0,11.54
73,Hithadhoo,MV,2021-04-13 04:39:30,-0.6,73.0833,82.99,68,45,8.55
74,Tomatlan,MX,2021-04-13 04:39:30,19.9333,-105.25,66.06,91,15,1.23
75,Naze,JP,2021-04-13 04:39:31,28.3667,129.4833,73.4,94,75,13.8
76,Quesnel,CA,2021-04-13 04:39:31,52.9999,-122.5029,35.6,51,1,0.78
77,Malvern,US,2021-04-13 04:36:06,34.3623,-92.813,64.99,55,1,4.61
78,Goderich,CA,2021-04-13 04:39:31,43.7501,-81.7165,51.8,82,78,6.91
79,Thompson,CA,2021-04-13 04:39:32,55.7435,-97.8558,21.2,58,90,14.97
80,Filingue,NE,2021-04-13 04:39:32,14.3521,3.3168,81.05,12,0,8.01
81,Atuona,PF,2021-04-13 04:39:32,-9.8,-139.0333,80.01,80,28,16.49
82,Emba,KZ,2021-04-13 04:39:33,48.8264,58.1442,51.48,34,0,20.04
83,Broome,US,2021-04-13 04:39:33,42.2506,-75.833,45.0,93,90,3.8
84,Tema,GH,2021-04-13 04:36:15,5.667,-0.0166,82.4,83,0,8.05
85,Vila Velha,BR,2021-04-13 04:39:33,-20.3297,-40.2925,77.0,88,0,2.3
86,Burnie,AU,2021-04-13 04:39:34,-41.0667,145.9167,57.0,76,100,15.01
87,Sao Joao Da Barra,BR,2021-04-13 04:39:34,-21.6403,-41.0511,72.27,87,0,8.88
88,Fairbanks,US,2021-04-13 04:38:06,64.8378,-147.7164,44.6,42,90,2.39
89,Rabo De Peixe,PT,2021-04-13 04:39:34,37.8,-25.5833,60.8,94,75,17.27
90,Barrow,US,2021-04-13 04:39:35,71.2906,-156.7887,5.0,72,90,17.27
91,Norman Wells,CA,2021-04-13 04:39:35,65.282,-126.8329,24.8,42,40,4.61
